"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-08-15 ~ 2022-08-14"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 북구 용봉동","403-6","0403","0006","유창하이리빙맨션2","59.9200","202208","14","11,200","-","13","-","-","1993","반룡로 58","-","중개거래","광주 북구","-"
"2","광주광역시 북구 연제동","1119","1119","0000","힐스테이트연제","84.9934","202208","14","49,000","-","15","-","-","2020","양일1로 31","-","중개거래","광주 서구","-"
"3","광주광역시 남구 진월동","348","0348","0000","아남","84.9000","202208","14","25,800","-","12","-","-","1997","금당로3길 20","-","중개거래","광주 남구","-"
"4","광주광역시 북구 매곡동","178-7","0178","0007","아남","84.8500","202208","14","18,300","-","13","-","-","1993","매곡로 92","20221117","중개거래","광주 북구","-"
"5","광주광역시 북구 운암동","110-11","0110","0011","대주","59.9200","202208","13","15,800","-","7","-","-","1995","금호로40번길 11","-","중개거래","광주 북구","-"
"6","광주광역시 북구 운암동","936-15","0936","0015","운암동포레스-힐2","17.9208","202208","13","6,800","-","5","-","-","2014","대자실로 22","-","중개거래","광주 북구","-"
"7","광주광역시 서구 화정동","1020","1020","0000","광명","59.8800","202208","13","14,900","-","9","-","-","1995","월드컵4강로28번길 50-18","-","중개거래","광주 서구","-"
"8","광주광역시 서구 화정동","1612","1612","0000","유니버시아드힐스테이트3단지","59.9900","202208","13","46,000","-","15","-","-","2016","화운로 24","-","중개거래","광주 서구","-"
"9","광주광역시 북구 신용동","671","0671","0000","첨단2지구중흥에스-클래스","106.7627","202208","13","75,000","-","9","-","-","2015","첨단연신로 217","-","중개거래","광주 북구","-"
"10","광주광역시 동구 계림동","1827","1827","0000","그랜드센트럴","75.9117","202208","13","52,000","-","21","-","-","2020","경양로 234","-","중개거래","광주 동구","-"
"11","광주광역시 북구 동림동","645","0645","0000","삼익","59.9700","202208","13","13,700","-","14","-","-","1996","유림로 175","-","중개거래","광주 북구","-"
"12","광주광역시 북구 동림동","1348","1348","0000","동림동우방아이유쉘1차","45.6670","202208","13","23,200","-","11","-","-","2022","유림로160번길 12","-","중개거래","광주 북구","-"
"13","광주광역시 광산구 우산동","1571-1","1571","0001","하남주공(2단지)","44.5200","202208","13","8,400","-","4","-","-","1991","월곡산정로 12","-","중개거래","광주 광산구","-"
"14","광주광역시 남구 봉선동","1092","1092","0000","봉선동제일풍경채엘리트파크","84.9680","202208","13","87,300","-","3","-","-","2016","제석로80번길 5","-","중개거래","광주 남구","-"
"15","광주광역시 북구 용두동","330","0330","0000","양산타운","59.7150","202208","13","15,000","-","12","-","-","1998","하서로423번길 33","-","중개거래","광주 북구","-"
"16","광주광역시 남구 봉선동","1125-1","1125","0001","무등프라자주월2차101","84.9600","202208","13","24,350","-","6","-","-","2020","봉선중앙로131번길 11","-","중개거래","광주 북구","-"
"17","광주광역시 남구 주월동","1199-12","1199","0012","라인가든1","59.4000","202208","13","9,300","-","11","-","-","1985","서문대로 766","-","중개거래","광주 남구","-"
"18","광주광역시 서구 쌍촌동","1228-1","1228","0001","빛고을파크","59.8500","202208","13","15,500","-","7","-","-","1991","화정로 105","-","중개거래","광주 서구","-"
"19","광주광역시 남구 진월동","388","0388","0000","호반","32.1600","202208","13","5,500","-","3","-","-","1999","금당로2길 4-13","-","중개거래","광주 남구","-"
"20","광주광역시 북구 각화동","471","0471","0000","금호타운1","84.4800","202208","13","25,800","-","7","-","-","1989","각화대로 33","-","중개거래","광주 북구","-"
"21","광주광역시 북구 문흥동","995-5","0995","0005","명지맨션","84.8400","202208","13","23,800","-","7","-","-","1994","서하로 405","-","중개거래","광주 북구","-"
"22","광주광역시 북구 문흥동","996-1","0996","0001","우미","49.9600","202208","13","10,000","-","6","-","-","1994","대천로 160","-","중개거래","광주 북구","-"
"23","광주광역시 북구 문흥동","995-5","0995","0005","명지맨션","84.8400","202208","13","18,400","-","2","-","-","1994","서하로 405","-","중개거래","광주 북구","-"
"24","광주광역시 동구 소태동","501","0501","0000","모아미래도","71.4200","202208","13","24,500","-","14","-","-","2003","학소로76번길 14","-","중개거래","광주 동구","-"
"25","광주광역시 북구 용봉동","850","0850","0000","신동아","59.6500","202208","13","16,200","-","6","-","-","1998","비엔날레로 112-5","-","중개거래","광주 북구","-"
"26","광주광역시 광산구 산월동","885-2","0885","0002","호반리젠시빌1","84.3979","202208","13","32,500","-","5","-","-","2003","첨단중앙로68번길 60","-","중개거래","광주 광산구","-"
"27","광주광역시 광산구 운남동","794-3","0794","0003","운남주공7단지","49.8300","202208","13","18,000","-","11","-","-","2001","목련로153번길 56","-","중개거래","광주 광산구 광주 남구","-"
"28","광주광역시 광산구 장덕동","1046","1046","0000","골드클래스","59.9817","202208","13","34,800","-","2","-","-","2013","장덕로5번길 16","-","중개거래","광주 광산구","-"
"29","광주광역시 광산구 월계동","765-2","0765","0002","첨단라인1","60.0000","202208","12","29,800","-","5","-","-","1995","월계로 117-32","-","중개거래","광주 광산구","-"
"30","광주광역시 광산구 하남동","971","0971","0000","하남3지구모아엘가","84.9966","202208","12","45,000","-","11","-","-","2018","단전둘레길 15","-","중개거래","광주 광산구","-"
"31","광주광역시 광산구 운남동","777-1","0777","0001","운남주공3단지","58.1400","202208","12","13,000","-","5","-","-","1996","목련로 307-11","-","중개거래","광주 광산구","-"
"32","광주광역시 남구 지석동","443","0443","0000","한일베라체","84.7830","202208","12","30,700","-","9","-","-","2008","회재로 211","-","중개거래","광주 남구","-"
"33","광주광역시 북구 양산동","205-6","0205","0006","일신2차","59.9850","202208","12","17,100","-","14","-","-","1997","상촌로43번길 30","-","중개거래","광주 북구","-"
"34","광주광역시 북구 동림동","1147-1","1147","0001","동림푸른주공3","59.9900","202208","12","15,400","-","8","-","-","1997","북문대로242번길 11","-","중개거래","광주 북구","-"
"35","광주광역시 북구 유동","141","0141","0000","금남로대광로제비앙","84.7468","202208","12","32,600","-","22","-","-","2022","서림로 153","-","직거래","-","-"
"36","광주광역시 북구 삼각동","171","0171","0000","삼각동혁신타운","32.3400","202208","12","5,000","-","5","-","-","1997","우치로383번길 3","-","중개거래","광주 북구","-"
"37","광주광역시 서구 양동","61-2","0061","0002","우진","71.6000","202208","12","29,000","-","4","-","-","1977","독립로 195","-","직거래","-","-"
"38","광주광역시 서구 농성동","702","0702","0000","농성SKVIEWCentral","84.9752","202208","12","61,000","-","7","-","-","2019","상무대로1147번길 16","-","중개거래","광주 서구","-"
"39","광주광역시 북구 일곡동","849-2","0849","0002","청솔","48.4500","202208","12","9,000","-","1","-","-","2000","일곡로 80","-","직거래","-","-"
"40","광주광역시 북구 오치동","925-1","0925","0001","금호타운","84.9400","202208","12","19,500","-","7","-","-","1995","서하로233번길 60","-","중개거래","광주 북구","-"
"41","광주광역시 북구 일곡동","849-1","0849","0001","한일","59.9150","202208","12","16,500","-","14","-","-","1997","일곡택지로 60","-","직거래","-","-"
"42","광주광역시 북구 일곡동","849-2","0849","0002","청솔","48.4500","202208","12","10,000","-","11","-","-","2000","일곡로 80","-","중개거래","광주 북구","-"
"43","광주광역시 서구 화정동","1612","1612","0000","유니버시아드힐스테이트3단지","84.9700","202208","12","61,000","-","27","-","-","2016","화운로 24","-","중개거래","광주 동구 광주 서구","-"
"44","광주광역시 북구 두암동","883-1","0883","0001","현대2","99.9570","202208","12","35,000","-","18","-","-","2000","동문대로86번길 55","-","중개거래","광주 북구","-"
"45","광주광역시 북구 양산동","776","0776","0000","지에스그린자이1차","112.0176","202208","12","50,000","-","11","-","-","2006","양산로71번길 10","-","중개거래","광주 북구","-"
"46","광주광역시 서구 치평동","1168-1","1168","0001","중흥(1168-1)","84.9300","202208","12","43,500","-","7","-","-","1997","치평로 77","-","중개거래","광주 서구","-"
"47","광주광역시 광산구 도산동","782","0782","0000","호반2차","59.9500","202208","12","13,950","-","3","-","-","1998","송도로162번길 11-6","-","중개거래","광주 광산구","-"
"48","광주광역시 북구 문흥동","996-2","0996","0002","공간","59.9700","202208","12","16,100","-","2","-","-","1994","문산로 65","-","중개거래","광주 북구","-"
"49","광주광역시 서구 유촌동","871","0871","0000","상무버들마을주공2","59.9700","202208","12","18,800","-","17","-","-","1999","상무버들로 15","-","중개거래","광주 서구","-"
"50","광주광역시 남구 봉선동","70","0070","0000","한국아델리움1단지","129.6596","202208","12","150,000","-","4","-","-","2006","제석로80번안길 11","-","중개거래","광주 남구","-"
"51","광주광역시 광산구 수완동","913","0913","0000","코오롱하늘채","103.7100","202208","12","75,000","-","20","-","-","2008","장덕로137번길 39","-","중개거래","광주 광산구","-"
"52","광주광역시 서구 풍암동","1053","1053","0000","한신","59.7900","202208","12","14,700","-","3","-","-","2000","풍암순환로 38","-","중개거래","광주 서구","-"
"53","광주광역시 북구 운암동","1101-1","1101","0001","나산건강","59.9700","202208","12","17,800","-","5","-","-","2000","북문대로169번길 20","-","중개거래","광주 북구","-"
"54","광주광역시 동구 학동","1022","1022","0000","무등산아이파크","84.7496","202208","11","73,000","-","18","-","-","2017","남문로753번길 20","-","중개거래","광주 동구","-"
"55","광주광역시 남구 방림동","558","0558","0000","광명그린","59.9800","202208","11","14,300","-","8","-","-","1988","용대로 155","-","중개거래","광주 남구","-"
"56","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","84.9500","202208","11","38,900","-","16","-","-","2008","동천로18번길 19","-","중개거래","광주 서구","-"
"57","광주광역시 북구 운암동","936-15","0936","0015","운암동포레스-힐2","17.9208","202208","11","7,200","-","7","-","-","2014","대자실로 22","-","중개거래","광주 북구","-"
"58","광주광역시 서구 화정동","927-1","0927","0001","중흥파크맨션(927-1","84.9900","202208","11","30,000","-","13","-","-","1992","염화로57번길 16","-","직거래","-","-"
"59","광주광역시 서구 화정동","1023","1023","0000","한양","59.9720","202208","11","15,800","-","5","-","-","1998","월드컵4강로28번길 46","-","중개거래","광주 서구","-"
"60","광주광역시 광산구 도천동","628-1","0628","0001","중흥2차","59.7600","202208","11","10,200","-","7","-","-","1995","비아로62번길 12","-","중개거래","광주 광산구","-"
"61","광주광역시 북구 용봉동","369-1","0369","0001","고운맨션","62.7900","202208","11","8,850","-","2","-","-","1990","반룡로 46","-","중개거래","광주 북구","-"
"62","광주광역시 남구 진월동","277","0277","0000","한신2","84.8700","202208","11","26,000","-","12","-","-","1997","서문대로701번길 21","-","직거래","-","-"
"63","광주광역시 남구 진월동","484","0484","0000","진월3차삼익세라믹아파트","59.4000","202208","11","14,800","-","19","-","-","2000","화산로31번길 17","-","중개거래","광주 남구","-"
"64","광주광역시 남구 진월동","484","0484","0000","진월3차삼익세라믹아파트","59.4000","202208","11","16,100","-","13","-","-","2000","화산로31번길 17","-","중개거래","광주 남구","-"
"65","광주광역시 남구 진월동","172","0172","0000","고운하이플러스2차","84.9936","202208","11","35,000","-","4","-","-","2008","진제길 28","-","중개거래","광주 남구","-"
"66","광주광역시 북구 임동","632","0632","0000","임동2차국제미소래아파트","59.4918","202208","11","20,000","-","7","-","-","2018","태봉로 37","-","중개거래","광주 동구 광주 북구","-"
"67","광주광역시 북구 오치동","1005","1005","0000","주공","52.0900","202208","11","11,000","-","2","-","-","1992","서하로194번길 15","-","직거래","-","-"
"68","광주광역시 북구 매곡동","214-16","0214","0016","공간빌리지","59.9400","202208","11","10,600","-","13","-","-","1991","매곡로 54","-","중개거래","광주 광산구","-"
"69","광주광역시 남구 봉선동","502","0502","0000","라인","133.1100","202208","11","50,000","-","13","-","-","1992","봉선로 91","-","중개거래","광주 서구","-"
"70","광주광역시 북구 양산동","205-1","0205","0001","일신1차","59.7850","202208","11","17,400","-","6","-","-","1996","양산택지로79번길 15","-","중개거래","광주 북구","-"
"71","광주광역시 북구 양산동","101","0101","0000","청암프로스빌","59.9700","202208","11","12,000","-","5","-","-","1998","자라봉로 33","-","중개거래","광주 북구","-"
"72","광주광역시 북구 동림동","1146-1","1146","0001","동림푸른주공","59.9900","202208","11","11,700","-","4","-","-","1998","북문대로242번길 50","-","중개거래","광주 광산구 광주 북구","-"
"73","광주광역시 서구 풍암동","1059","1059","0000","한국","59.9850","202208","11","16,000","-","3","-","-","2000","풍암2로 84","-","중개거래","광주 서구","-"
"74","광주광역시 서구 풍암동","1053","1053","0000","한신","59.7900","202208","11","16,000","-","1","-","-","2000","풍암순환로 38","-","직거래","-","-"
"75","광주광역시 광산구 장덕동","1690","1690","0000","성덕마을대방노블랜드5차","129.0840","202208","11","90,000","-","11","-","-","2011","풍영로170번길 39-26","-","중개거래","광주 광산구","-"
"76","광주광역시 광산구 월곡동","538-2","0538","0002","하남부영","60.0000","202208","11","12,800","-","2","-","-","1992","사암로 251","-","중개거래","광주 광산구","-"
"77","광주광역시 광산구 월계동","764-3","0764","0003","호반1차","59.9700","202208","11","25,500","-","1","-","-","1995","월계로 117-35","-","중개거래","광주 광산구","-"
"78","광주광역시 광산구 산정동","1119","1119","0000","부영애시앙1차(산정셀트리움)","84.8198","202208","11","30,000","-","14","-","-","2008","목련로 42","-","중개거래","광주 광산구","-"
"79","광주광역시 광산구 월계동","765-2","0765","0002","첨단라인1","60.0000","202208","11","27,000","-","4","-","-","1995","월계로 117-32","-","중개거래","광주 광산구 광주 동구","-"
"80","광주광역시 광산구 장덕동","1686","1686","0000","대주피오레1단지","84.7712","202208","10","54,500","-","8","-","-","2009","풍영로170번길 39-25","-","중개거래","광주 광산구","-"
"81","광주광역시 광산구 월계동","765-2","0765","0002","첨단라인1","60.0000","202208","10","31,800","-","2","-","-","1995","월계로 117-32","-","중개거래","광주 광산구","-"
"82","광주광역시 서구 금호동","815","0815","0000","호반리젠시빌2차","39.7920","202208","10","12,500","-","13","-","-","2000","화개1로 33","-","직거래","-","-"
"83","광주광역시 북구 문흥동","1011-5","1011","0005","문흥상록","59.8020","202208","10","14,000","-","13","-","-","1997","문산로 20","20220831","중개거래","광주 북구","-"
"84","광주광역시 북구 문흥동","1011-5","1011","0005","문흥상록","59.8020","202208","10","13,400","-","1","-","-","1997","문산로 20","-","중개거래","광주 서구","-"
"85","광주광역시 동구 용산동","147-1","0147","0001","호반맨션","59.9600","202208","10","10,000","-","10","-","-","1991","화산로 328-6","-","직거래","-","-"
"86","광주광역시 북구 양산동","101","0101","0000","청암프로스빌","49.7700","202208","10","8,500","-","2","-","-","1998","자라봉로 33","-","중개거래","광주 북구","-"
"87","광주광역시 광산구 도천동","628-1","0628","0001","중흥2차","59.7600","202208","10","9,750","-","5","-","-","1995","비아로62번길 12","-","중개거래","광주 광산구","-"
"88","광주광역시 남구 서동","291","0291","0000","서동영무예다음","84.9771","202208","10","40,500","-","8","-","-","2017","제중로 111","-","중개거래","광주 남구","-"
"89","광주광역시 북구 매곡동","178-7","0178","0007","아남","84.8500","202208","10","17,000","-","3","-","-","1993","매곡로 92","-","중개거래","광주 북구","-"
"90","광주광역시 북구 신용동","737","0737","0000","광주첨단2지구사랑으로부영","60.4624","202208","10","29,200","-","8","-","-","2013","첨단연신로 166","-","중개거래","광주 북구","-"
"91","광주광역시 북구 용두동","1123","1123","0000","첨단진아리채","84.9821","202208","10","48,000","-","9","-","-","2020","용두마을2길 12","-","중개거래","광주 광산구 광주 북구","-"
"92","광주광역시 북구 매곡동","214-16","0214","0016","공간빌리지","59.9400","202208","10","9,700","-","3","-","-","1991","매곡로 54","-","중개거래","광주 북구","-"
"93","광주광역시 북구 매곡동","494","0494","0000","매곡대광로제비앙","80.3123","202208","10","34,000","-","11","-","-","2017","하백로6번길 12","-","중개거래","광주 북구","-"
"94","광주광역시 남구 주월동","420-4","0420","0004","삼다에코빌","70.7528","202208","10","11,100","-","-1","-","-","2007","광복마을6길 25","-","중개거래","광주 남구 광주 동구","-"
"95","광주광역시 북구 본촌동","2866","2866","0000","베스트클래스아파트","67.4723","202208","10","20,000","-","3","-","-","2017","본촌마을길 178","-","중개거래","광주 북구","-"
"96","광주광역시 남구 진월동","281","0281","0000","새한","52.0200","202208","10","16,500","-","7","-","-","1998","광복마을길 53","-","중개거래","광주 남구","-"
"97","광주광역시 남구 진월동","500-7","0500","0007","유달파크","84.9000","202208","10","17,900","-","11","-","-","1990","화산로 23","-","중개거래","광주 남구","-"
"98","광주광역시 북구 문흥동","787-1","0787","0001","주공","59.3900","202208","10","12,000","-","10","-","-","1990","면앙로31번길 10","-","직거래","-","-"
"99","광주광역시 북구 문흥동","1010-7","1010","0007","문흥제일파크","49.9500","202208","10","10,800","-","14","-","-","1994","천지인로 191","-","중개거래","광주 북구","-"
"100","광주광역시 북구 문흥동","996-2","0996","0002","공간","59.9700","202208","10","15,300","-","8","-","-","1994","문산로 65","-","중개거래","광주 남구, 광주 북구","-"
"101","광주광역시 서구 화정동","131-4","0131","0004","삼익","65.1000","202208","10","31,000","-","12","-","-","1979","죽봉대로 31","20230309","직거래","-","-"
"102","광주광역시 남구 주월동","420-4","0420","0004","삼다에코빌","70.7528","202208","10","11,100","-","-1","-","-","2007","광복마을6길 25","20220905","중개거래","광주 남구","-"
