"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-08-15 ~ 2023-08-14"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 남구 용호동","176-30","0176","0030","엘지메트로시티3","84.9800","202308","14","50,000","134","17","-","-","2002","분포로 111","-","중개거래","부산 남구","23.09.22"
"2","부산광역시 남구 용호동","487-8","0487","0008","수피아주상복합","83.9200","202308","14","25,200","-","12","-","-","2010","용호로 174","-","직거래","-","23.08.25"
"3","부산광역시 중구 중앙동4가","19","0019","0000","서린엘마르센트로뷰","52.5355","202308","14","37,000","102","28","-","-","2021","대교로 157","-","중개거래","부산 중구","23.10.30"
"4","부산광역시 부산진구 개금동","19-2","0019","0002","현대","84.9450","202308","14","15,000","103","16","-","-","1992","개금본동로 34","-","중개거래","부산 부산진구","23.11.03"
"5","부산광역시 부산진구 범천동","859-16","0859","0016","세운이노빌","29.5800","202308","14","6,000","-","5","-","-","2003","황령대로 23","-","중개거래","부산 부산진구","23.08.14"
"6","부산광역시 해운대구 우동","1408","1408","0000","해운대 I PARK","90.9930","202308","14","85,000","주동1","16","-","-","2011","마린시티2로 38","-","직거래","-","23.08.17"
"7","부산광역시 해운대구 우동","1388-1","1388","0001","경남마리나","59.8300","202308","14","60,000","103","7","-","-","1996","해운대해변로 99","-","중개거래","부산 해운대구","23.09.18"
"8","부산광역시 해운대구 우동","1105","1105","0000","센텀두산위브","105.9943","202308","14","78,800","-","8","-","-","2014","해운대로383번길 93","20240814","중개거래","부산 해운대구","-"
"9","부산광역시 해운대구 재송동","1196","1196","0000","더샵센텀스타","98.5100","202308","14","89,000","A","6","-","-","2008","센텀동로 123","-","중개거래","부산 해운대구","23.12.28"
"10","부산광역시 부산진구 부암동","746","0746","0000","서면동일파크스위트3차","67.8820","202308","14","37,200","308동","14","-","-","2017","동평로 162","-","중개거래","부산 부산진구","23.09.05"
"11","부산광역시 서구 남부민동","523-1","0523","0001","대림비치","59.8900","202308","14","21,000","102","13","-","-","2003","충무대로 133","-","중개거래","부산 서구","23.11.06"
"12","부산광역시 부산진구 부암동","736","0736","0000","서면동일파크스위트1차","79.4274","202308","14","33,000","102","13","-","-","2014","동평로150번길 14","-","직거래","-","23.09.05"
"13","부산광역시 동구 범일동","62-720","0062","0720","한성기린","98.6800","202308","14","25,800","-","12","-","-","1997","중앙대로 514","-","중개거래","부산 동구","23.10.10"
"14","부산광역시 동래구 사직동","1058","1058","0000","쌍용더플래티넘사직아시아드아파트","69.1821","202308","14","77,800","106동","16","-","-","2020","아시아드대로134번길 14","-","중개거래","부산 동래구","24.03.19"
"15","부산광역시 서구 남부민동","523-1","0523","0001","대림비치","84.7700","202308","14","31,500","101","9","-","-","2003","충무대로 133","-","중개거래","부산 서구","23.09.11"
"16","부산광역시 동래구 명륜동","757","0757","0000","명륜아이파크1단지","62.6360","202308","14","58,500","-","19","-","-","2013","명륜로 170","20230823","중개거래","부산 동래구","-"
"17","부산광역시 동래구 명륜동","757","0757","0000","명륜아이파크1단지","62.6360","202308","14","58,500","102","19","-","-","2013","명륜로 170","-","중개거래","부산 동래구 부산 부산진구","23.10.24"
"18","부산광역시 동래구 명륜동","782","0782","0000","명륜2차아이파크1단지","59.9038","202308","14","47,000","115","12","-","-","2015","시실로 49","-","중개거래","부산 동래구","23.09.22"
"19","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","59.7846","202308","14","50,000","121동","22","-","-","2021","동성로 50","-","중개거래","부산 부산진구","23.09.08"
"20","부산광역시 남구 대연동","1272-2","1272","0002","동원로얄듀크","84.9809","202308","14","56,000","202","13","-","-","2005","못골로41번길 13","-","중개거래","부산 남구","23.10.13"
"21","부산광역시 해운대구 재송동","1196","1196","0000","더샵센텀스타","109.1400","202308","14","100,000","A","15","-","-","2008","센텀동로 123","-","중개거래","부산 해운대구","24.01.22"
"22","부산광역시 북구 금곡동","1895","1895","0000","화명뜨란채","59.7700","202308","14","24,500","105","4","-","-","2004","화명신도시로 219","-","중개거래","부산 북구","23.10.26"
"23","부산광역시 남구 대연동","72-23","0072","0023","대승타워","33.1000","202308","14","7,500","-","17","-","-","1998","수영로 304","-","중개거래","부산 남구","23.08.31"
"24","부산광역시 중구 보수동3가","61-19","0061","0019","한웅드리머스","49.7797","202308","14","27,868","한웅드리머스","15","-","-","2022","흑교로59번길 16-1","-","직거래","-","24.01.23"
