"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-08-15 ~ 2022-08-14"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","제주특별자치도 제주시 이도이동","1956","1956","0000","이도한일베라체","106.4600","202208","14","80,000","-","4","-","-","2011","신설로 55","-","중개거래","제주 제주시","-"
"2","제주특별자치도 서귀포시 중문동","1725","1725","0000","중문남해오네뜨오션힐","68.9300","202208","14","32,500","-","2","-","-","2016","중문상로82번길 15","-","중개거래","제주 서귀포시 제주 제주시","-"
"3","제주특별자치도 제주시 도련일동","1910","1910","0000","제주삼화사랑으로부영8차","84.9933","202208","14","59,000","-","2","-","-","2016","화삼로 89","20220819","중개거래","제주 제주시","-"
"4","제주특별자치도 제주시 도련일동","1910","1910","0000","제주삼화사랑으로부영8차","84.9933","202208","14","59,000","-","2","-","-","2016","화삼로 89","-","중개거래","제주 제주시","-"
"5","제주특별자치도 서귀포시 서홍동","305-2","0305","0002","지오빌Ⅱ-2차","84.3708","202208","13","36,000","-","6","-","-","2013","중앙로 189","-","중개거래","제주 서귀포시","-"
"6","제주특별자치도 제주시 조천읍 함덕리","4168","4168","0000","광명샤인빌","59.2517","202208","13","23,000","-","4","-","-","2006","함덕30길 27","-","중개거래","제주 제주시","-"
"7","제주특별자치도 서귀포시 강정동","195","0195","0000","서귀포강정지구3블럭중흥에스-클래스","84.9297","202208","13","56,500","-","12","-","-","2016","대청로 12","-","중개거래","제주 서귀포시","-"
"8","제주특별자치도 서귀포시 안덕면 화순리","363-10","0363","0010","엘림피렌체","85.7500","202208","13","26,500","-","5","-","-","2016","화순중앙로 95","20220818","중개거래","제주 서귀포시","-"
"9","제주특별자치도 제주시 건입동","1044-8","1044","0008","건입미화","59.8700","202208","12","15,000","-","1","-","-","1994","동문로21길 4-7","-","중개거래","제주 제주시","-"
"10","제주특별자치도 서귀포시 강정동","200","0200","0000","제주강정유승한내들퍼스트오션","101.9934","202208","12","74,000","-","4","-","-","2017","대청로 34","-","중개거래","제주 서귀포시","-"
"11","제주특별자치도 제주시 노형동","3779-5","3779","0005","인텔리젼트한빛","84.3470","202208","12","39,200","-","3","-","-","2004","1100로 3349","-","중개거래","제주 제주시","-"
"12","제주특별자치도 제주시 조천읍 함덕리","4168","4168","0000","광명샤인빌","84.5989","202208","12","36,500","-","5","-","-","2006","함덕30길 27","20220928","중개거래","제주 제주시","-"
"13","제주특별자치도 제주시 이도이동","1078-6","1078","0006","부양장미2차","59.4000","202208","11","20,500","-","4","-","-","1995","오복2길 27","-","중개거래","제주 제주시","-"
"14","제주특별자치도 제주시 이도이동","1909-19","1909","0019","이도동아","59.9280","202208","11","30,000","-","6","-","-","1996","독짓골8길 67","-","직거래","-","-"
"15","제주특별자치도 제주시 삼도일동","788-5","0788","0005","삼도이레빌2차","39.5300","202208","10","11,700","-","3","-","-","2012","충효길 28","-","직거래","-","-"
"16","제주특별자치도 제주시 삼양이동","2113-6","2113","0006","삼부비치","66.9800","202208","10","16,000","-","9","-","-","2003","지석15길 30","-","직거래","-","-"
"17","제주특별자치도 제주시 삼도일동","788-5","0788","0005","삼도이레빌2차","39.5300","202208","10","11,700","-","3","-","-","2012","충효길 28","-","중개거래","제주 제주시","-"
"18","제주특별자치도 제주시 화북이동","117","0117","0000","제주삼화엘에이치2단지","84.9500","202208","10","59,950","-","3","-","-","2014","화삼로 32","-","중개거래","제주 제주시","-"
"19","제주특별자치도 제주시 용담삼동","505","0505","0000","용두암현대1","83.5500","202208","09","34,000","-","7","-","-","1991","용담로5길 25","-","중개거래","제주 제주시","-"
"20","제주특별자치도 제주시 외도일동","496-1","0496","0001","아름지운아파트","78.7259","202208","09","29,000","-","6","-","-","2016","우정로10길 19","-","중개거래","제주 제주시","-"
