NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,광주광역시 남구 봉선동,1092,1092,0,봉선동제일풍경채엘리트파크,84.9639,202108,14,"97,500",-,9,-,-,2016,제석로80번길 5,-,-,-,-
2,광주광역시 남구 봉선동,1076,1076,0,포스코더샵,84.32,202108,14,"76,300",-,20,-,-,2004,효사랑길 14,-,-,-,-
3,광주광역시 서구 화정동,1023,1023,0,한양,59.972,202108,14,"13,300",-,2,-,-,1998,월드컵4강로28번길 46,-,-,-,-
4,광주광역시 북구 용봉동,1074-6,1074,6,한신,59.85,202108,14,"9,700",-,9,-,-,1992,용봉택지로 16,-,-,-,-
5,광주광역시 북구 용봉동,1474,1474,0,용봉엘리체,59.857,202108,14,"34,800",-,9,-,-,2013,서하로94번길 60,-,-,-,-
6,광주광역시 북구 용봉동,976,976,0,중흥S클래스,84.8358,202108,14,"30,500",-,8,-,-,2003,서하로106번길 25,-,-,-,-
7,광주광역시 북구 용봉동,973-1,973,1,삼성,59.76,202108,14,"14,000",-,4,-,-,1993,서하로 120,-,-,-,-
8,광주광역시 북구 용봉동,1075,1075,0,용봉3차대주파크빌,84.5458,202108,14,"29,500",-,8,-,-,2005,용봉택지로 25,-,-,-,-
9,광주광역시 북구 용봉동,973-1,973,1,삼성,59.76,202108,14,"14,300",-,10,-,-,1993,서하로 120,-,-,-,-
10,광주광역시 남구 봉선동,1147,1147,0,봉선이지더원2단지,59.7827,202108,14,"25,900",-,3,-,-,2012,봉선로 55,-,-,-,-
11,광주광역시 남구 봉선동,502,502,0,라인,84.7,202108,14,"33,500",-,13,-,-,1992,봉선로 91,-,-,-,-
12,광주광역시 서구 내방동,848,848,0,내방마을주공,39.93,202108,14,"10,650",-,10,-,-,2002,화운로193번길 25,-,-,-,-
13,광주광역시 남구 백운동,696,696,0,백운우방아이유쉘,84.9776,202108,14,"41,700",-,7,-,-,2014,독립로 70-1,-,-,-,-
14,광주광역시 서구 풍암동,1099,1099,0,부영APT(신암마을),80.1864,202108,14,"27,500",-,5,-,-,2000,풍암1로 42,-,-,-,-
15,광주광역시 서구 풍암동,1127,1127,0,주은모아,59.7,202108,14,"17,250",-,13,-,-,2000,풍암2로 36,-,-,-,-
16,광주광역시 남구 백운동,Jan-32,32,1,송촌파인힐,84.58,202108,14,"22,200",-,4,-,-,1999,독립로80번길 10,-,-,-,-
17,광주광역시 남구 행암동,526,526,0,제일풍경채에듀파크1단지,84.3565,202108,14,"45,250",-,5,-,-,2015,효우로 332-10,-,-,-,-
18,광주광역시 남구 진월동,277,277,0,한신2,59.98,202108,14,"15,600",-,4,-,-,1997,서문대로701번길 21,-,-,-,-
19,광주광역시 남구 진월동,508-10,508,10,신흥타운6,59.76,202108,14,"10,800",-,15,-,-,1991,서문대로622번길 4,-,-,-,-
20,광주광역시 남구 진월동,508-5,508,5,신흥타운3,59.94,202108,14,"10,700",-,2,-,-,1987,서문대로 614,-,-,-,-
21,광주광역시 남구 진월동,277,277,0,한신2,59.98,202108,14,"15,600",-,4,-,-,1997,서문대로701번길 21,20210910,-,-,-
22,광주광역시 남구 진월동,481-4,481,4,현대,108.33,202108,14,"29,500",-,4,-,-,1990,서문대로622번길 7,-,-,-,-
23,광주광역시 남구 진월동,499-68,499,68,진월동풍림아파트,84.96,202108,14,"23,500",-,16,-,-,2000,화산로31번안길 2,-,-,-,-
24,광주광역시 북구 문흥동,787-6,787,6,우성,121.79,202108,14,"21,800",-,6,-,-,1990,호동로 99,-,-,-,-
25,광주광역시 북구 운암동,1761,1761,0,남양휴튼,111.0942,202108,14,"47,250",-,5,-,-,2007,서강로 150,-,-,-,-
26,광주광역시 북구 각화동,194,194,0,해광파크맨션,84.82,202108,14,"15,200",-,11,-,-,1991,군왕로208번길 11,-,-,-,-
27,광주광역시 북구 운암동,229,229,0,미라보3,84.98,202108,14,"17,800",-,10,-,-,1992,서강로 155,-,-,-,-
28,광주광역시 남구 백운동,699,699,0,힐스테이트백운,77.5416,202108,14,"51,200",-,8,-,-,2016,회재로1293번길 7,20210902,-,-,-
