NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,부산광역시 북구 만덕동,823-8,823,8,만덕베르빌,59.8,202208,14,"22,700",-,22,-,-,2001,만덕1로 8,20221014,중개거래,부산 북구,-
2,부산광역시 해운대구 반여동,1662,1662,0,메가센텀한화꿈에그린,84.9793,202208,14,"55,500",-,24,-,-,2008,반여로 67,-,중개거래,부산 해운대구,-
3,부산광역시 북구 구포동,401-1,401,1,구포오바드빌,83.6923,202208,14,"23,000",-,2,-,-,2004,가람로52번길 29,-,중개거래,부산 북구,-
4,부산광역시 남구 용호동,487-8,487,8,수피아주상복합,43.17,202208,14,"13,800",-,6,-,-,2010,용호로 174,-,중개거래,부산 남구,-
5,부산광역시 동구 초량동,1165-1,1165,1,부산역유림로미오,27.0945,202208,14,"11,450",-,7,-,-,2014,중앙대로274번길 7-7,-,중개거래,부산 동구,-
6,부산광역시 서구 동대신동3가,63-245,63,245,정림파크,69.12,202208,14,"10,000",-,6,-,-,1989,망양로111번길 18-8,-,중개거래,부산 서구,-
7,부산광역시 부산진구 양정동,271-9,271,9,양정퀸즈더블유에디션,49.5952,202208,14,"23,600",-,16,-,-,2019,연수로 37,-,중개거래,부산 연제구,-
8,부산광역시 수영구 민락동,772,772,0,민락동신화하니엘그린시티공동주택,41.1352,202208,14,"15,900",-,7,-,-,2016,민락본동로 7,-,중개거래,부산 수영구,-
9,부산광역시 금정구 남산동,105-13,105,13,건흥,84.865,202208,14,"25,200",-,8,-,-,2000,중앙대로2035번길 12,-,중개거래,부산 금정구,-
10,부산광역시 금정구 부곡동,962,962,0,뉴그린1,57.33,202208,13,"22,000",-,2,-,-,1990,동현로 90,-,중개거래,부산 금정구,-
11,부산광역시 연제구 연산동,859-2,859,2,시청역퀸즈W,49.3704,202208,13,"22,200",-,15,-,-,2016,연제로 7,-,중개거래,부산 연제구,-
12,부산광역시 수영구 망미동,1176,1176,0,수영SKVIEW1단지,59.9694,202208,13,"46,000",-,4,-,-,2019,망미배산로 56,-,중개거래,부산 수영구,-
13,부산광역시 연제구 연산동,2311,2311,0,더샵파크시티,84.94,202208,13,"64,000",-,22,-,-,2015,안연로 33,-,중개거래,부산 연제구,-
14,부산광역시 기장군 정관읍 달산리,1199,1199,0,정관센트럴파크,84.59,202208,13,"32,000",-,4,-,-,2009,구연방곡로 10,-,중개거래,부산 기장군,-
15,부산광역시 기장군 정관읍 모전리,730,730,0,이지더원3차,84.97,202208,13,"38,000",-,7,-,-,2015,정관로 350,-,중개거래,부산 기장군,-
16,부산광역시 금정구 구서동,75,75,0,태평양,84.72,202208,13,"18,400",-,15,-,-,1994,체육공원로 56,-,중개거래,부산 금정구,-
17,부산광역시 사상구 모라동,75,75,0,주공4,41.3,202208,13,"8,800",-,10,-,-,1993,모라로192번길 50,-,중개거래,부산 사상구,-
18,부산광역시 연제구 연산동,2311,2311,0,더샵파크시티,84.91,202208,13,"61,500",-,14,-,-,2015,안연로 33,-,중개거래,부산 연제구,-
19,부산광역시 사하구 장림동,16,16,0,신세대지큐빌,49.14,202208,13,"10,450",-,8,-,-,2003,다대로277번길 85,-,중개거래,부산 사하구,-
20,부산광역시 수영구 남천동,148-4,148,4,삼익비치,61.09,202208,13,"95,000",-,6,-,-,1982,광안해변로 100,-,중개거래,부산 수영구,-
21,부산광역시 사하구 장림동,60-39,60,39,삼경제일,93.99,202208,13,"13,300",-,8,-,-,1994,두송로 68,-,중개거래,부산 사하구,-
22,부산광역시 사상구 괘법동,516-3,516,3,괘법한신2,115.02,202208,13,"44,000",-,12,-,-,1998,낙동대로1210번길 33,-,중개거래,부산 사상구,-
23,부산광역시 사상구 주례동,10월 04일,10,4,엘지신주례2,84.973,202208,13,"33,000",-,5,-,-,1996,백양대로342번길 17,-,중개거래,부산 부산진구 부산 사상구,-
24,부산광역시 연제구 연산동,2311,2311,0,더샵파크시티,69.93,202208,13,"55,500",-,16,-,-,2015,안연로 33,-,중개거래,부산 연제구,-
25,부산광역시 동래구 명장동,29-105,29,105,대호맨션,64.07,202208,13,"20,500",-,4,-,-,1981,반송로273번길 17,-,중개거래,부산 동래구,-
26,부산광역시 사하구 신평동,669,669,0,사하뷰웰,84.74,202208,13,"28,800",-,6,-,-,2016,신산북로43번길 59,-,중개거래,부산 사하구,-
27,부산광역시 북구 구포동,1247-10,1247,10,태평양,74.76,202208,13,"11,050",-,5,-,-,1992,시랑로 176,-,중개거래,부산 북구,-
28,부산광역시 부산진구 개금동,523-3,523,3,시티파크,84.41,202208,13,"27,300",-,14,-,-,2012,복지로21번길 6,-,중개거래,부산 부산진구,-
29,부산광역시 부산진구 개금동,01월 12일,1,12,동원화인패밀리,117.95,202208,13,"26,000",-,8,-,-,1995,백양관문로77번길 55,-,중개거래,부산 부산진구,-
30,부산광역시 부산진구 개금동,875,875,0,개금역금강펜테리움더스퀘어아파트,84.3949,202208,13,"62,200",-,23,-,-,2018,가야대로 450,-,중개거래,부산 부산진구,-
31,부산광역시 해운대구 좌동,1413,1413,0,삼성,84.996,202208,13,"62,500",-,4,-,-,1997,세실로 174,-,중개거래,부산 해운대구,-
32,부산광역시 부산진구 부암동,746,746,0,서면동일파크스위트3차,67.882,202208,13,"40,000",-,1,-,-,2017,동평로 162,-,중개거래,부산 부산진구,-
33,부산광역시 북구 덕천동,128-3,128,3,승산벽산,84.68,202208,13,"19,100",-,7,-,-,1992,만덕3로16번길 51,-,중개거래,부산 북구,-
34,부산광역시 남구 용호동,537-13,537,13,한진훼미리타운,48.72,202208,13,"10,500",-,5,-,-,1996,용호로232번길 61,20220822,중개거래,부산 남구,-
35,부산광역시 부산진구 당감동,794,794,0,백양푸른채,59.54,202208,13,"15,800",-,10,-,-,1999,백양산로53번길 62,-,중개거래,부산 부산진구,-
36,부산광역시 남구 용호동,537-13,537,13,한진훼미리타운,48.72,202208,13,"11,000",-,9,-,-,1996,용호로232번길 61,-,중개거래,부산 남구,-
