NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202508,14,"48,700",-,7,개인,개인,2016,대청로 12,-,중개거래,제주 서귀포시,-
2,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,73.9049,202508,13,"46,500",-,12,개인,개인,2013,화삼북로 136,-,중개거래,제주 제주시,-
3,제주특별자치도 제주시 애월읍 애월리,1622,1622,0,혁승애월다움,83.6878,202508,12,"22,000",-,6,개인,개인,2017,애원로 11,-,중개거래,제주 제주시,-
4,제주특별자치도 제주시 연동,1399,1399,0,대림이편한세상1차,59.953,202508,12,"56,000",-,5,개인,개인,2001,국기로 14,-,중개거래,제주 제주시,-
5,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,59.957,202508,12,"58,350",-,9,개인,개인,2002,한라대학로 107,-,중개거래,제주 제주시,-
6,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.87,202508,12,"21,700",-,2,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,-
7,제주특별자치도 제주시 연동,290-5,290,5,엘리시아뷰,31.86,202508,11,"12,200",-,7,개인,개인,2012,연삼로 18,-,직거래,-,25.08.11
8,제주특별자치도 서귀포시 강정동,193,193,0,서귀포강정골드클래스,84.9789,202508,11,"45,800",-,7,개인,개인,2017,대청로 11,-,중개거래,제주 서귀포시,-
9,제주특별자치도 제주시 연동,290-5,290,5,엘리시아뷰,31.86,202508,11,"10,200",-,7,개인,개인,2012,연삼로 18,-,직거래,-,25.08.11
10,제주특별자치도 제주시 용담이동,619,619,0,용두암현대3,84.75,202508,11,"22,000",-,3,개인,개인,1992,성화로6길 46,20250811,중개거래,제주 제주시,-
11,제주특별자치도 제주시 용담이동,619,619,0,용두암현대3,84.75,202508,11,"22,000",-,3,개인,개인,1992,성화로6길 46,-,중개거래,제주 제주시,-
12,제주특별자치도 제주시 용담삼동,505,505,0,용두암현대1,67.32,202508,11,"27,500",101,3,개인,개인,1991,용담로5길 25,-,직거래,-,25.08.11
13,제주특별자치도 제주시 연동,Mar-64,1964,3,펠리체,84.7799,202508,11,"44,000",-,11,개인,개인,2012,도령로 73,-,중개거래,제주 제주시,-
14,제주특별자치도 제주시 연동,290-4,290,4,이레빌,22.75,202508,11,"5,200",-,3,개인,개인,2012,신광로1길 6,-,중개거래,제주 제주시,-
15,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202508,10,"48,000",-,5,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,-
16,제주특별자치도 제주시 도남동,811,811,0,도남해모로리치힐아파트,59.849,202508,9,"59,600",-,9,개인,개인,2019,도남서길 14,-,중개거래,제주 제주시,-
